City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,Esperance,-33.8667,121.9,71.65,52,96,21.83,AU,2023-01-19 06:28:08
163,Vanimo,-2.6741,141.3028,80.49,77,99,9.71,PG,2023-01-19 06:28:09
164,Iqaluit,63.7506,-68.5145,-18.31,75,0,10.36,CA,2023-01-19 06:28:11
165,Sivaki,52.6333,126.75,-17.59,88,100,10.58,RU,2023-01-19 06:28:12
166,Venustiano Carranza,19.43,-99.0992,59.14,45,75,3.44,MX,2023-01-19 06:28:13
167,Maniitsoq,65.4167,-52.9,13.19,63,100,10.83,GL,2023-01-19 06:28:14
168,Donskoye,45.4552,41.9741,33.93,79,26,12.62,RU,2023-01-19 06:28:15
169,Lebu,-37.6167,-73.65,55.09,89,23,6.04,CL,2023-01-19 06:28:16
170,Souillac,-20.5167,57.5167,80.98,94,75,12.66,MU,2023-01-19 06:28:18
171,La Plata,-34.9215,-57.9545,76.03,64,90,13.91,AR,2023-01-19 06:28:19
172,Namibe,-15.1961,12.1522,74.5,72,100,2.98,AO,2023-01-19 06:28:20
173,Sur,22.5667,59.5289,72.61,65,87,17.13,OM,2023-01-19 06:28:21
174,Mporokoso,-9.3727,30.125,62.71,93,100,1.66,ZM,2023-01-19 06:28:22
175,Wanxian,30.8039,108.3897,51.76,53,12,1.28,CN,2023-01-19 06:28:23
176,Guerrero Negro,27.9769,-114.0611,57.79,62,99,6.06,MX,2023-01-19 06:28:24
177,Dovers,12.8833,-61.1833,78.03,73,2,19.17,VC,2023-01-19 06:28:26
178,Kruisfontein,-34.0033,24.7314,74.88,80,77,11.79,ZA,2023-01-19 06:28:27
179,Oda,35.1833,132.5,41.77,73,100,8.63,JP,2023-01-19 06:28:28
180,Pontian Kecil,1.4801,103.3899,87.03,74,97,10.09,MY,2023-01-19 06:28:29
181,Rosarito,32.3333,-117.0333,51.12,66,100,3.53,MX,2023-01-19 06:28:30
182,Turukhansk,65.8167,87.9833,-16.15,82,100,6.69,RU,2023-01-19 06:28:31
183,Conceicao Da Barra,-18.5933,-39.7322,72.68,92,13,2.53,BR,2023-01-19 06:28:32
184,New Norfolk,-42.7826,147.0587,62.71,42,44,6.8,AU,2023-01-19 06:28:33
185,Kharp,66.8014,65.8081,7.99,88,10,10.07,RU,2023-01-19 06:28:34
186,Samana,19.2056,-69.3369,70.86,71,14,3.76,DO,2023-01-19 06:29:36
187,Grindavik,63.8424,-22.4338,19.87,68,0,9.22,IS,2023-01-19 06:29:37
188,Urumqi,43.801,87.6005,-4.85,84,40,2.24,CN,2023-01-19 06:29:38
189,Xining,36.6167,101.7667,21.47,30,0,2.66,CN,2023-01-19 06:29:39
190,Laguna,38.421,-121.4238,50.09,89,100,17.27,US,2023-01-19 06:29:41
191,Bareli,28.35,79.4167,63.34,37,57,3.24,IN,2023-01-19 06:29:42
192,Itoman,26.1247,127.6694,65.17,58,20,14.97,JP,2023-01-19 06:29:44
193,Lufilufi,-13.8745,-171.5986,80.38,79,69,21.34,WS,2023-01-19 06:29:46
194,College,64.8569,-147.8028,-14.85,77,0,0.0,US,2023-01-19 06:29:37
195,Dumas,35.8656,-101.9732,32.14,64,0,14.97,US,2023-01-19 06:29:49
196,Morondava,-20.2833,44.2833,84.92,48,98,13.58,MG,2023-01-19 06:29:51
197,Milyutinskaya,48.6279,41.6679,27.48,94,69,12.82,RU,2023-01-19 06:29:52
198,Coihaique,-45.5752,-72.0662,57.15,72,0,6.91,CL,2023-01-19 06:29:54
199,Ancud,-41.8697,-73.8203,54.48,88,25,0.87,CL,2023-01-19 06:29:55
200,Bubaque,11.2833,-15.8333,77.27,65,2,8.66,GW,2023-01-19 06:29:57
201,General Teran,25.2667,-99.6833,65.25,39,83,5.66,MX,2023-01-19 06:29:58
202,Lebanon,36.2081,-86.2911,69.67,80,100,20.71,US,2023-01-19 06:29:39
203,Flinders,-34.5833,150.8552,71.38,68,100,7.0,AU,2023-01-19 06:30:03
204,Virginia Beach,36.8529,-75.978,51.84,74,100,5.75,US,2023-01-19 06:29:30
205,Pisco,-13.7,-76.2167,71.65,78,0,8.05,PE,2023-01-19 06:30:08
206,Ribeira Grande,38.5167,-28.7,53.78,84,0,3.0,PT,2023-01-19 06:30:10
207,Nyurba,63.2842,118.3319,-56.88,99,75,2.95,RU,2023-01-19 06:30:11
208,Alugan,12.2188,125.4808,80.17,87,24,12.26,PH,2023-01-19 06:30:13
209,Galesong,-5.3166,119.3661,78.82,70,100,10.38,ID,2023-01-19 06:30:15
210,Sao Joao Da Barra,-21.6403,-41.0511,73.6,90,84,7.09,BR,2023-01-19 06:30:19
211,Susanville,40.4163,-120.653,33.12,95,100,4.0,US,2023-01-19 06:30:22
212,Tuim,54.3417,89.9261,15.37,71,100,6.2,RU,2023-01-19 06:30:29
213,Upernavik,72.7868,-56.1549,-13.74,89,100,4.12,GL,2023-01-19 06:30:32
214,Quelimane,-17.8786,36.8883,82.35,89,75,4.61,MZ,2023-01-19 06:30:35
