City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
315,Bathsheba,BB,13.2167,-59.5167,72.21,68,20,6.91,few clouds
316,Markova,UA,48.6758,24.4138,24.35,84,96,5.39,overcast clouds
317,Gat,IL,31.61,34.7642,58.41,100,50,6.71,scattered clouds
318,Zhigansk,RU,66.7697,123.3711,-40.02,94,98,10.98,overcast clouds
319,Port Hedland,AU,-20.3167,118.5667,93.25,59,93,12.66,overcast clouds
320,Ornskoldsvik,SE,63.2909,18.7153,32.95,80,100,12.66,overcast clouds
321,Rawson,AR,-43.3002,-65.1023,72.97,36,2,17.38,clear sky
322,La Ronge,CA,55.1001,-105.2842,-9.15,59,40,12.66,scattered clouds
323,Cayenne,GF,4.9333,-52.3333,73.44,100,75,2.3,mist
324,Sechura,PE,-5.5569,-80.8222,73.38,71,90,10.18,overcast clouds
325,Borova,UA,50.1763,30.1043,25.25,89,15,6.82,few clouds
326,Sabha,LY,27.0377,14.4283,44.8,41,0,9.75,clear sky
327,Vostok,RU,46.4856,135.8833,-4.02,78,7,3.27,clear sky
328,Iqaluit,CA,63.7506,-68.5145,-34.87,67,0,4.61,clear sky
329,Cidreira,BR,-30.1811,-50.2056,75.56,88,83,5.3,broken clouds
330,Veraval,IN,20.9,70.3667,70.34,58,0,7.18,clear sky
331,Souris,CA,49.6172,-100.2612,-11.25,95,10,9.33,clear sky
332,Lukovetskiy,RU,64.2956,41.9211,21.49,92,100,10.87,light snow
333,Clyde River,CA,70.4692,-68.5914,-7.37,77,100,8.05,light snow
334,Razole,IN,16.4833,81.8333,81.25,59,23,6.8,few clouds
335,Caravelas,BR,-17.7125,-39.2481,74.71,91,20,4.16,few clouds
336,Verkhnechusovskiye Gorodki,RU,58.1671,57.1086,-6.39,100,100,3.53,overcast clouds
337,Saint-Paul,RE,-21.0096,55.2707,84.31,80,100,4.99,overcast clouds
338,Whitehorse,CA,60.7161,-135.0538,14.77,73,100,9.22,overcast clouds
339,Harare,ZW,-17.8294,31.0539,60.57,94,78,1.95,broken clouds
340,Dhidhdhoo,MV,6.8833,73.1,80.26,73,13,10.25,few clouds
341,Havelock,US,34.8791,-76.9013,51.75,66,99,3.65,overcast clouds
342,Lompoc,US,34.6391,-120.4579,53.53,82,100,17.0,overcast clouds
343,Leh,IN,34.1667,77.5833,17.91,76,100,3.62,overcast clouds
344,Zaton,RU,53.2936,83.8072,11.79,61,0,11.18,clear sky
345,Burnie,AU,-41.0667,145.9167,78.94,30,0,17.34,clear sky
